1 x 1   Plan 9 From Outer Space (Mike Nelson Solo)	2006-01-01	  
1 x 2   Night of the Living Dead (Mike Nelson solo)	2006-01-18	  
1 x 3   Road House	2006-07-21	  
1 x 4   The Fifth Element	2006-08-06	  
1 x 5   Star Trek V: The Final Frontier	2006-08-18	  
1 x 6   Cocktail	2006-08-29	  
1 x 7   xXx	2006-09-06	  
1 x 8   Crossroads	2006-09-15	  
1 x 9   X-Men	2006-09-22	  
1 x 115	Star Trek II: The Wrath of Khan	2011-04-12	  
Special	Rifftrax Live: Reefer Madness	2011-05-17	
Special	Rifftrax Live: House on Haunted Hill	2011-05-17	
1 x 116	The Crater Lake Monster	2011-05-25	  
1 x 117	The Devil's Hand	2011-06-01	  
1 x 118	X-Men: The Last Stand	2011-06-21	  
1 x 119	The Galaxy Invader	2011-08-05	  
1 x 120	Abraxas: Guardian of the Universe	2011-08-30	  
1 x 121	Thor	2011-09-27	  
1 x 122	Laser Mission	2011-10-04	  
1 x 123	Harry Potter and the Half-Blood Prince	2011-10-18	  
1 x 124	The Sons of Hercules: Land of Darkness	2011-11-01	  
1 x 125	Warriors of the Wasteland	2011-11-15	  
1 x 126	Buffalo Rider	2011-11-22	  
1 x 127	Transformers: Dark of the Moon	2011-11-29	  
1 x 128	Christmas with Rifftrax featuring Magic Christmas Tree	2011-12-20	  
1 x 129	Captain America: The First Avenger	2012-01-10	  
1 x 130	Ghosthouse	2012-01-20	  
1 x 131	Rise of the Planet of the Apes	2012-02-14	  
1 x 132	Twilight: Breaking Dawn - Part 1	2012-02-23	  
1 x 133	Frankenstein Island	2012-03-20	  
1 x 134	Mesa of Lost Women	2012-04-03	  
1 x 135	Curse of Bigfoot	2012-04-17	  
Special	Rifftrax Live: Jack The Giant Killer	2012-05-01	
1 x 136	Jack the Giant Killer	2012-05-01	  
1 x 137	Mutant!	2012-05-08	  
1 x 138	Prisoners of the Lost Universe	2012-05-22	  
1 x 139	Brainiac	2012-07-02	  
1 x 140	Bloody Pit of Horror	2012-07-13	  
1 x 141	Future Force	2012-07-27	  
1 x 142	Neutron the Atomic Superman vs. the Death Robots	2012-08-07	  
1 x 143	The Revenge of Doctor X	2012-08-21	  
1 x 144	The Bermuda Triangle	2012-09-06	  
1 x 145	The Hunger Games	2012-09-27	  
1 x 146	The Guy from Harlem	2012-10-04	  
1 x 147	Future Zone	2012-10-11	  
1 x 148	Nightmare at Noon	2012-10-23	  
1 x 149	Tourist Trap	2012-11-21	  
1 x 150	Christmas with RiffTrax: Santa's Village of Madness	2012-12-21	  
1 x 151	The Avengers	2012-12-27	  
1 x 152	McBain	2013-01-25	  
Special	Rifftrax Live: Birdemic	2013-01-31	
1 x 153	When a Stranger Calls Back	2013-02-07	  
1 x 154	Cool as Ice	2013-02-19	  
1 x 155	Twilight: Breaking Dawn - Part 2	2013-03-14	  
1 x 156	Breaker! Breaker!	2013-03-21	  
1 x 157	Viva Knievel!	2013-05-04	  
1 x 158	The Apple	2013-04-13	  
1 x 159	Kingdom of the Spiders	2013-04-23	  
1 x 160	Psycho II	2013-05-07	  
